code;libelle;gid
27.90Z;Fabrication d'autres matériels électriques;251
39.00Z;Dépollution et autres services de gestion des déchets;330
28.11Z;Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules;252
28.12Z;Fabrication d'équipements hydrauliques et pneumatiques;253
28.13Z;Fabrication d'autres pompes et compresseurs;254
28.14Z;Fabrication d'autres articles de robinetterie;255
28.15Z;Fabrication d'engrenages et d'organes mécaniques de transmission;256
28.21Z;Fabrication de fours et brûleurs;257
28.22Z;Fabrication de matériel de levage et de manutention;258
28.23Z;Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);259
28.24Z;Fabrication d'outillage portatif à moteur incorporé;260
28.25Z;Fabrication d'équipements aérauliques et frigorifiques industriels;261
28.29A;Fabrication d'équipements d'emballage, de conditionnement et de pesage ;262
28.29B;Fabrication d'autres machines d'usage général;263
28.30Z;Fabrication de machines agricoles et forestières;264
28.41Z;Fabrication de machines-outils pour le travail des métaux;265
28.49Z;Fabrication d'autres machines-outils ;266
28.91Z;Fabrication de machines pour la métallurgie;267
28.92Z;Fabrication de machines pour l'extraction ou la construction;268
28.93Z;Fabrication de machines pour l'industrie agro-alimentaire;269
28.94Z;Fabrication de machines pour les industries textiles;270
28.95Z;Fabrication de machines pour les industries du papier et du carton;271
28.96Z;Fabrication de machines pour le travail du caoutchouc ou des plastiques;272
28.99A;Fabrication de machines d'imprimerie;273
28.99B;Fabrication d'autres machines spécialisées;274
29.10Z;Construction de véhicules automobiles;275
29.20Z;Fabrication de carrosseries et remorques;276
29.31Z;Fabrication d'équipements électriques et électroniques automobiles;277
29.32Z;Fabrication d'autres équipements automobiles;278
30.11Z;Construction de navires et de structures flottantes;279
30.12Z;Construction de bateaux de plaisance;280
30.20Z;Construction de locomotives et d'autre matériel ferroviaire roulant ;281
30.30Z;Construction aéronautique et spatiale ;282
30.40Z;Construction de véhicules militaires de combat ;283
30.91Z;Fabrication de motocycles;284
30.92Z;Fabrication de bicyclettes et de véhicules pour invalides;285
30.99Z;Fabrication d’autres équipements de transport n.c.a.;286
31.01Z;Fabrication de meubles de bureau et de magasin;287
31.02Z;Fabrication de meubles de cuisine ;288
31.03Z;Fabrication de matelas;289
31.09A;Fabrication de sièges d'ameublement d'intérieur;290
31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement;291
32.11Z;Frappe de monnaie;292
32.12Z;Fabrication d’articles de joaillerie et bijouterie;293
32.13Z;Fabrication d’articles de bijouterie fantaisie et articles similaires;294
32.20Z;Fabrication d'instruments de musique;295
32.30Z;Fabrication d'articles de sport;296
32.40Z;Fabrication de jeux et jouets;297
32.50A;Fabrication de matériel médico-chirurgical et dentaire;298
32.50B;Fabrication de lunettes;299
32.91Z;Fabrication d’articles de brosserie;300
32.99Z;Autres activités manufacturières n.c.a. ;301
33.11Z;Réparation d'ouvrages en métaux;302
33.12Z;Réparation de machines et équipements mécaniques;303
33.13Z;Réparation de matériels électroniques et optiques;304
33.14Z;Réparation d'équipements électriques;305
33.15Z;Réparation et maintenance navale;306
33.16Z;Réparation et maintenance d'aéronefs et d'engins spatiaux ;307
33.17Z;Réparation et maintenance d'autres équipements de transport;308
33.19Z;Réparation d'autres équipements;309
33.20A;Installation de structures métalliques, chaudronnées et de tuyauterie;310
33.20B;Installation de machines et équipements mécaniques;311
33.20C;Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels ;312
33.20D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;313
35.11Z;Production d'électricité;314
35.12Z;Transport d'électricité;315
35.13Z;Distribution d'électricité;316
35.14Z;Commerce d'électricité;317
35.21Z;Production de combustibles gazeux;318
35.22Z;Distribution de combustibles gazeux par conduites;319
35.23Z;Commerce de combustibles gazeux par conduites;320
35.30Z;Production et distribution de vapeur et d'air conditionné ;321
36.00Z;Captage, traitement et distribution d'eau;322
37.00Z;Collecte et traitement des eaux usées;323
38.11Z;Collecte des déchets non dangereux;324
38.12Z;Collecte des déchets dangereux;325
38.21Z;Traitement et élimination des déchets non dangereux;326
38.22Z;Traitement et élimination des déchets dangereux;327
38.31Z;Démantèlement d'épaves;328
38.32Z;Récupération de déchets triés;329
41.10A;Promotion immobilière de logements;331
41.10B;Promotion immobilière de bureaux;332
41.10C;Promotion immobilière d'autres bâtiments;333
41.10D;Supports juridiques de programmes;334
41.20A;Construction de maisons individuelles;335
41.20B;Construction d'autres bâtiments;336
42.11Z;Construction de routes et autoroutes;337
42.12Z;Construction de voies ferrées de surface et souterraines;338
42.13A;Construction d'ouvrages d'art;339
42.13B;Construction et entretien de tunnels;340
42.21Z;Construction de réseaux pour fluides;341
42.22Z;Construction de réseaux électriques et de télécommunications;342
42.91Z;Construction d'ouvrages maritimes et fluviaux;343
42.99Z;Construction d'autres ouvrages de génie civil n.c.a.;344
43.11Z;Travaux de démolition;345
43.12A;Travaux de terrassement courants et travaux préparatoires;346
43.12B;Travaux de terrassement spécialisés ou de grande masse;347
43.13Z;Forages et sondages;348
43.21A;Travaux d'installation électrique dans tous locaux;349
